code	name	field of ed
CUVDRA502A	Investigate drawing materials and processes	100301
CUVDSP01A	Source and apply design industry knowledge	120505
CUVDSP02A	Develop self as designer	080305
CUVDSP04A	Research and apply the history and theory of design to design practice	100501
CUVDSP04B	Research and apply the history and theory of design to design practice	100501
CUVDSP07A	Research and apply techniques for graphic design	100501
CUVDSP07B	Research and apply techniques for graphic design	100501
CUVDSP11A	Research and apply techniques for illustrative work	100501
CUVDSP11B	Research and apply techniques for illustrative work	100501
CUVDSP13A	Research and apply techniques for the design of wearable objects	100501
CUVDSP13B	Research and apply techniques for the design of wearable objects	100501
CUVDSP14A	Research and apply techniques for the design of products	100501
CUVDSP14B	Research and apply techniques for the design of products	100501
CUVDSP15A	Research and apply techniques for application to spatial design	100501
CUVDSP15B	Research and apply techniques for application to spatial design	100501
CUVFIM401A	Obtain revenue to support operations	080301
CUVGLA201A	Develop glassworking skills	100305
CUVGLA301A	Produce glasswork	100305
CUVGLA401A	Experiment with techniques to produce glasswork	100305
CUVGLA501A	Refine glassworking techniques	100305
CUVGLA502A	Investigate glassworking materials and processes	100305
CUVGLA503A	Refine kiln cast glass techniques	100305
CUVGRD301A	Prepare files for publication	080905
CUVGRD302A	Use typography techniques	100501
CUVGRD401A	Research and apply graphic design techniques	100501
CUVGRD501A	Research visual communication history and theory	100799
CUVGRD502A	Produce graphic designs for 2-D and 3-D applications	100501
CUVGRD503A	Produce typographic design solutions	100501
CUVGRD504A	Create and manipulate graphics	100501
CUVGRD505A	Design and manipulate complex layouts	100501
CUVGRD506A	Develop graphic design practice to meet industry needs	100501
CUVGRD601A	Engage in the business of graphic design	100501
CUVGRD602A	Originate graphic designs for complex briefs	100501
CUVGRD603A	Extend typographic design expertise	100501
CUVGRD604A	Develop and execute advertising concepts	100501
CUVGRD605A	Develop graphic designs for the built environment	100501
CUVGRD606A	Develop graphic designs for packaging	100501
CUVGRD607A	Develop graphic designs for branding and identify	100501
CUVICS01A	Contribute to workplace improvements	120505
CUVICS01B	Contribute to workplace improvements	120505
CUVICS02A	Share ideas in the workplace	120505
CUVICS02B	Share ideas in the workplace	
CUVICS03A	Develop innovative ideas at work	100399
CUVICS03B	Develop innovative ideas at work	
CUVICS04A	Originate and develop a concept	100301
CUVICS04B	Originate and develop a concept	100301
CUVICS05A	Lead a team to foster innovation	080315
CUVICS05B	Lead a team to foster innovation	
CUVICS06A	Create an innovative work environment	080315
CUVICS06B	Create an innovative work environment	
CUVICS07A	Set up systems that support innovation	080315
CUVICS07B	Set up systems that support innovation	
CUVILL401A	Research and apply techniques for illustrative work	100501
CUVILL501A	Develop professional illustrations	100501
CUVILL502A	Refine illustration techniques	100501
CUVIND401A	Communicate effectively with arts professionals	120505
CUVIND501A	Maintain and apply creative arts industry knowledge	120505
CUVIND501B	Maintain and apply creative arts industry knowledge	109999
CUVINS601A	Realise an installation work	100501
CUVJWL201A	Develop jewellery-making skills	100307
CUVJWL301A	Produce jewellery	100307
CUVJWL401A	Experiment with techniques to produce jewellery	100307
CUVLLN201	Use basic measuring and calculating skills	010101
CUVOPA01A	Identify and describe opal	100307
CUVOPA01B	Identify and describe opal	100307
CUVOPA02A	Handle and store rough and cut opal	089901
CUVOPA02B	Handle and store rough and cut opal	089901
CUVOPA03A	Complete precutting processes for solid opals	100307
CUVOPA03B	Complete precutting processes for solid opals	100307
CUVOPA04A	Cut and polish an opal solid	100307
CUVOPA04B	Cut and polish an opal solid	100307
CUVOPA05A	Complete pre-cutting processes for opal doublets and triplets	100307
CUVOPA05B	Complete pre-cutting processes for opal doublets and triplets	100307
CUVOPA06A	Cut and polish an opal doublet/triplet	100307
CUVOPA06B	Cut and polish an opal doublet/triplet	100307
CUVOPA07A	Use opal carving tools	100307
CUVOPA07B	Use opal carving tools	100307
CUVOPA08A	Production cut and polish opal	100307
CUVOPA08B	Production cut and polish opal	100307
CUVOPA09A	Use a faceting machine	030717
CUVOPA09B	Use a faceting machine	030717
CUVOPA10A	Cut opal spheres and beads	030717
CUVOPA10B	Cut opal spheres and beads	030717
CUVOPA11A	Obtain opal	089901
CUVOPA11B	Obtain opal	089901
CUVOPA12A	Identify the requirements for establishing an opal-cutting workshop	080301
CUVOPA12B	Identify the requirements for establishing an opal-cutting workshop	080301
CUVOPA13A	Apply advanced pre-cutting processes to complex opals	100307
CUVOPA13B	Apply advanced pre-cutting processes to complex opals	100307
CUVOPA14A	Undertake operational maintenance of machinery	030717
CUVOPA14B	Undertake operational maintenance of machinery	030717
CUVOPA201A	Identify and assess opal	100307
CUVOPA202A	Handle and store rough and cut opal	100307
CUVOPA203A	Complete pre-cutting processes for solid opals	100307
CUVOPA204A	Cut and polish solid opals	100307
CUVOPA205A	Complete pre-cutting processes for opal doublets and triplets	100307
CUVOPA206A	Cut and polish opal doublets and triplets	100307
CUVOPA401A	Use opal carving tools	100307
CUVOPA402A	Production cut and polish opal	100307
CUVOPA403A	Use a faceting machine	100307
CUVOPA404A	Cut opal spheres and beads	100307
CUVOPA405A	Obtain opal	100307
CUVOPA406A	Identify the requirements for establishing an opal-cutting workshop	100307
CUVOPA407A	Apply advanced pre-cutting processes to complex opals	100307
CUVOPA408A	Undertake routine operational maintenance of machinery	030717
CUVPAI201A	Develop painting skills	100301
CUVPAI301A	Produce paintings	100301
CUVPAI401A	Experiment with techniques to produce paintings	100301
CUVPAI501A	Refine painting techniques	100301
CUVPAI502A	Investigate painting materials and processes	100301
CUVPER401A	Experiment with techniques to produce performance art	100199
CUVPHI01A	Source and apply photoimaging industry knowledge	100303
CUVPHI01B	Source and apply photoimaging industry knowledge	100303
CUVPHI02A	Develop self for photoimaging industry	080305
CUVPHI02B	Develop self for photoimaging industry	080305
CUVPHI03A	Research and apply information on the traditions which inform photoimaging practice	120505
CUVPHI03B	Research and apply information on the traditions which inform photoimaging practice	120505
CUVPHI04A	Apply photoimaging lighting techniques	100303
CUVPHI04B	Apply photoimaging lighting techniques	100303
CUVPHI05A	Use a 35mm SLR camera or digital equivalent	100303
CUVPHI05B	Use a 35mm SLR camera or digital equivalent	100303
CUVPHI06A	Plan and carry out image capture in response to a brief	100303
CUVPHI06B	Plan and carry out image capture in response to a brief	100303
CUVPHI07A	Process photoimages to work print/file stage	100303
CUVPHI07B	Process photoimages to work print/file stage	100303
CUVPHI08A	Enhance, manipulate and output photoimages	100303
CUVPHI08B	Enhance, manipulate and output photoimages	100303
CUVPHI09A	Use colour materials, processing and printing techniques in a wet darkroom context	100303
CUVPHI09B	Use colour materials, processing and printing techniques in a wet darkroom context	100303
CUVPHI10A	Use and extend wet darkroom techniques to produce monochrome photographs	100303
CUVPHI10B	Use and extend wet darkroom techniques to produce monochrome photographs	100303
CUVPHI301A	Develop and apply photo imaging industry knowledge	100303
CUVPHI302A	Capture photographic images	100303
CUVPHI303A	Process photo images to work-print and file stage	100303
CUVPHI304A	Process colour materials in a wet darkroom context	100303
CUVPHI305A	Use wet darkroom techniques to produce monochrome photographs	100303
CUVPHI401A	Capture images in response to a brief	100303
CUVPHI402A	Research and apply information on the traditions that inform photo imaging practice	100303
CUVPHI403A	Apply photo imaging lighting techniques	100303
CUVPHI404A	Enhance, manipulate and output photo images	100303
CUVPHI405A	Develop self for photo imaging industry	100303
CUVPHI501A	Research role and use of the photoimage in visual communication	100303
CUVPHI502A	Research and exploit photoimaging trends	100303
CUVPHI503A	Explore the descriptive and emotive nature of photo lighting	100303
CUVPHI504A	Investigate and exploit innovative imaging options	100303
CUVPHI505A	Produce an innovative presentation of professional work	100303
CUVPHI506A	Produce commercial photoimages	100303
CUVPHI507A	Provide domestic portrait services	100303
CUVPHI508A	Produce media photoimages	100303
CUVPHI509A	Make wedding photoimaging products	100303
CUVPHI510A	Plan, capture and exploit visual art photoimages	100303
CUVPHI511A	Produce technical photoimages	100303
CUVPHI512A	Make illustrative images for publication and display	100303
CUVPHI513A	Plan, capture and exploit stock photoimages	100303
CUVPHI514A	Employ colour management in a digital imaging workplace	100303
CUVPHI515A	Prepare digital images for pre-press printing	100303
CUVPHI516A	Research the role and use of the photo image in visual communication	100303
CUVPHI517A	Research and exploit photo imaging trends	100303
CUVPHI518A	Explore the descriptive and emotive nature of photo lighting	100303
CUVPHI519A	Investigate and exploit innovative imaging options	100303
CUVPHI520A	Produce an innovative presentation of professional work	100303
CUVPHI521A	Produce commercial photo images	100303
CUVPHI522A	Provide domestic portrait services	100303
CUVPHI523A	Produce media photo images	100303
CUVPHI524A	Make wedding photo imaging products	100303
CUVPHI525A	Plan, capture and exploit visual art photo images	100303
CUVPHI526A	Produce technical photo images	100303
CUVPHI527A	Make illustrative images for publication and display	100303
CUVPHI528A	Plan, capture and exploit stock photo images	100303
CUVPHI529A	Employ colour management in a digital imaging workplace	100303
CUVPHI530A	Prepare digital images for pre-press processing	100303
CUVPHI531A	Investigate and refine alternative approaches to photomedia	100303
CUVPRI201A	Develop printmaking skills	100301
CUVPRI301A	Produce prints	100301
CUVPRI401A	Experiment with techniques to produce prints	100301
CUVPRI501A	Refine printmaking techniques	100301
CUVPRI502A	Investigate printmaking materials and processes	100301
CUVPRP01A	Develop self as artist	080305
CUVPRP01B	Develop self as artist	080305
CUVPRP02A	Develop understanding of own Aboriginal or Torres Strait Islander identity	090303
CUVPRP02B	Develop understanding of own Aboriginal or Torres Strait Islander identity	090303
CUVPRP03A	Develop and apply knowledge of Aboriginal or Torres Strait Islander Cultural Arts	090311
CUVPRP03B	Develop and apply knowledge of Aboriginal or Torres Strait Islander Cultural Arts	090311
CUVPRP04A	Produce work which expresses own Aboriginal or Torres Strait Islander identity	100301
CUVPRP04B	Produce work which expresses own Aboriginal or Torres Strait Islander identity	100301
CUVPRP101A	Use ideas and techniques for creative work	100399
CUVPRP201A	Make simple creative work	100399
CUVPRP202A	Participate in planning work for nominated sites	100399
CUVPRP203A	Store finished creative work	100399
CUVPRP301A	Produce creative work	100399
CUVPRP302A	Document the work progress	100399
CUVPRP303A	Select and prepare creative work for exhibition	100399
CUVPRP304A	Participate in collaborative creative projects	100399
CUVPRP401A	Realise a creative project	100399
CUVPRP402A	Select sites for creative projects and plan work	100399
CUVPRP403A	Select and organise finished work for storage	100399
CUVPRP404A	Develop self as artist	100399
CUVPRP405A	Develop and discuss ideas for own creative work	100399
CUVPRP406A	Plan work space	100399
CUVPRP501A	Realise a body of creative work	100399
CUVPRP502A	Prepare for sustainable professional practice	080305
CUVPRP503A	Present a body of own creative work	100399
CUVPRP504A	Establish and maintain environmentally sustainable creative practice	100399
CUVPRP505A	Establish and maintain safe professional practice	061301
CUVPRP601A	Originate a body of independent creative work	100399
CUVPRP602A	Collaborate in professional creative projects	100399
CUVPRP603A	Engage in the business of creative practice	100399
CUVPRP604A	Publicly present a body of own creative work	080509
CUVPRP605A	Evolve ideas for professional creative work	100399
CUVPRP606A	Extend expertise in a specialised art form to professional level	100399
CUVPUA501A	Create works of art for public spaces	100399
CUVPUA601A	Realise a public art project	100399
CUVPUB501A	Develop and manage public relations strategies	080509
CUVRES201A	Source and use information relevant to own arts practice	100399
CUVRES301A	Apply knowledge of history and theory to own arts practice	090305
CUVRES401A	Research history and theory to inform own arts practice	090305
CUVRES501A	Critique cultural works	109999
CUVRES502A	Analyse cultural history and theory	090305
CUVRES601A	Extend cultural research expertise	100399
CUVSCU201A	Develop sculptural skills	100301
CUVSCU301A	Produce sculpture	100301
CUVSCU401A	Experiment with techniques to produce sculpture	100301
CUVSCU501A	Refine sculptural techniques	100301
CUVSCU502A	Investigate sculptural materials and processes	100301
CUVTEX201A	Develop skills in textile work	100305
CUVTEX301A	Produce textile work	100305
CUVTEX401A	Experiment with techniques to produce textile work	100305
CUVTEX501A	Refine techniques for textile work	100305
CUVTEX502A	Investigate materials and processes for textile work	100305
CUVVSP01A	Produce calligraphy	100301
CUVVSP01B	Produce calligraphy	100301
CUVVSP02A	Research and experiment with techniques to produce calligraphy	100301
CUVVSP02B	Research and experiment with techniques to produce calligraphy	100301
CUVVSP04A	Apply techniques to produce ceramics	100305
CUVVSP04B	Apply techniques to produce ceramics	100305
CUVVSP05A	Produce ceramics	100305
CUVVSP05B	Produce ceramics	100305
CUVVSP06A	Research and experiment with techniques to produce ceramics	100305
CUVVSP06B	Research and experiment with techniques to produce ceramics	100305
CUVVSP07A	Apply techniques in wheel-formed ceramics	100305
CUVVSP07B	Apply techniques in wheel-formed ceramics	100305
CUVVSP11A	Apply techniques to produce digital images	100303
CUVVSP11B	Apply techniques to produce digital images	100303
CUVVSP12A	Produce digital images	100303
CUVVSP12B	Produce digital images	100303
CUVVSP13A	Research and experiment with techniques for digital image enhancement and manipulation	100303
CUVVSP13B	Research and experiment with techniques for digital image enhancement and manipulation	100303
CUVVSP14A	Apply techniques to produce drawings	100301
CUVVSP14B	Apply techniques to produce drawings	100301
CUVVSP15A	Produce drawings	100301
CUVVSP15B	Produce drawings	100301
CUVVSP16A	Research and experiment with techniques to produce drawings	100301
CUVVSP16B	Research and experiment with techniques to produce drawings	100301
CUVVSP17A	Apply techniques to produce glass work	040323
CUVVSP17B	Apply techniques to produce glass work	040323
CUVVSP18A	Apply techniques to produce video art	100701
CUVVSP18B	Apply techniques to produce video art	100701
CUVVSP19A	Produce video art	100701
CUVVSP19B	Produce video art	100701
CUVVSP20A	Research and experiment with techniques to produce video art	100701
CUVVSP20B	Research and experiment with techniques to produce video art	100701
CUVVSP21A	Produce glass work	040323
CUVVSP21B	Produce glass work	040323
CUVVSP22A	Research and experiment with techniques to produce glass work	040323
CUVVSP22B	Research and experiment with techniques to produce glass work	040323
CUVVSP24A	Research and experiment with techniques to produce installation	040323
CUVVSP24B	Research and experiment with techniques to produce installation	040323
CUVVSP26A	Apply techniques to produce jewellery	100307
CUVVSP26B	Apply techniques to produce jewellery	100307
CUVVSP27A	Produce jewellery	100307
CUVVSP27B	Produce jewellery	100307
CUVVSP28A	Research and experiment with techniques to produce jewellery	100307
CUVVSP28B	Research and experiment with techniques to produce jewellery	100307
CUVVSP34A	Apply techniques to produce paintings	100301
CUVVSP34B	Apply techniques to produce paintings	100301
CUVVSP35A	Produce paintings	100301
CUVVSP35B	Produce paintings	100301
CUVVSP36A	Research and experiment with techniques to produce paintings	100301
CUVVSP36B	Research and experiment with techniques to produce paintings	100301
CUVVSP38A	Research and experiment with techniques to produce performance art	100301
CUVVSP38B	Research and experiment with techniques to produce performance art	100301
CUVVSP44A	Apply techniques to produce prints	100301
CUVVSP44B	Apply techniques to produce prints	100301
CUVVSP45A	Produce prints	100301
CUVVSP45B	Produce prints	100301
CUVVSP46A	Research and experiment with techniques to produce prints	100301
CUVVSP46B	Research and experiment with techniques to produce prints	100301
CUVVSP48A	Research and experiment with techniques to produce public art	100301
CUVVSP48B	Research and experiment with techniques to produce public art	100301
CUVVSP50A	Apply techniques to produce sculpture	100301
CUVVSP50B	Apply techniques to produce sculpture	100301
CUVVSP51A	Produce sculpture	100301
CUVVSP51B	Produce sculpture	100301
CUVVSP52A	Research and experiment with techniques to produce sculpture	100301
CUVVSP52B	Research and experiment with techniques to produce sculpture	100301
CUVVSP54A	Apply techniques to produce textile/fibre work	100305
CUVVSP54B	Apply techniques to produce textile/fibre work	100305
CUVVSP55A	Produce textile/fibre work	100305
CUVVSP55B	Produce textile/fibre work	100305
CUVVSP56A	Research and experiment with techniques to produce textile/fibre work	100305
CUVVSP56B	Research and experiment with techniques to produce textile/fibre work	100305
CUVVSP57A	Apply techniques to produce wood objects	100305
CUVVSP57B	Apply techniques to produce wood objects	100305
CUVVSP58A	Produce wood objects	100305
CUVVSP58B	Produce wood objects	100305
CUVVSP59A	Research and experiment with techniques to produce wood objects	100305
CUVVSP59B	Research and experiment with techniques to produce wood objects	100305
CUVWOO201A	Develop woodworking skills	100305
CUVWOO301A	Produce wood objects	100305
CUVWOO401A	Experiment with techniques to produce wood objects	100305
CUVWOO501A	Refine woodworking techniques	100305
CUVWOO502A	Investigate woodworking materials and processes	100305
DEFAD001A	Rig and hook up loads during rotary wing external lift operations	030717
DEFAD002A	Assist in establishing and clearing a cargo drop zone	089901
DEFBM001C	Assist in seamanship operations	031705
DEFBM002C	Assist in boarding operations	
DEFBM003C	Control persons using non firearms options	091105
DEFBM004C	Defend persons using firearms	099905
DEFBM005C	Maintain weapons and associated equipment	030715
DEFBM006C	Track and engage target	
DEFBM007A	Assist in ship navigation	031705
DEFBM008A	Operate a chaff firing system	030717
DEFBM009A	Operate a visual target designator system	030717
DEFCA001B	Observe and monitor hostile areas to detect targets	091105
DEFCA002B	Operate remote sensors to detect targets	091105
DEFCA003B	Operate a radar to locate targets	030717
DEFCA004B	Conduct military searches	
DEFCA005B	Operate communications equipment	031309
DEFCA006B	Perform an individual free fall parachute descent	092101
DEFCA007B	Perform an individual free fall parachute descent carrying combat equipment	092101
DEFCA008B	Perform an individual static line parachute descent	092101
DEFCA009B	Perform an individual static line parachute descent carrying combat equipment	092101
DEFCA010B	Perform a team free fall parachute descent carrying combat equipment	092101
DEFCA011	Operate defence communications equipment	031309
DEFCA012	Perform an individual static line parachute descent	092101
DEFCA013	Perform a team free fall parachute descent	092101
DEFCA014	Navigate in remote and unmodified landscapes	120505
DEFCA015	Supervise combat arms operations	080303
DEFCA016	Use individual protective equipment in a CBRN threat environment	099905
DEFCA101B	Operate and maintain an armoured fighting vehicle	030503
DEFCA102B	Operate and maintain armoured fighting vehicle weapon systems	030717
DEFCA103B	Supervise an armoured fighting vehicle and crew	080399
DEFCA104	Operate and maintain an armoured vehicle	030515
DEFCA105	Operate and maintain armoured vehicle weapon systems	030717
DEFCA106	Supervise an armoured vehicle and crew	030515
DEFCA201B	Operate indirect fire weapons	030717
DEFCA202B	Conduct field survey to determine fixation and orientation	031101
DEFCA203B	Produce meteorological data	010701
DEFCA204B	Destroy hostile air targets using line of sight ground based air defence weapon systems	030717
DEFCA205B	Observe targets and direct single asset firepower on a single target	080315
DEFCA206B	Observe targets and coordinate multi asset firepower on multiple targets	080315
DEFCA207B	Observe targets and engage with joint asset firepower from any agency	080315
DEFCA208B	Maintain radar systems at field operator level	020305
DEFCA209B	Select sites for deployment in a threat environment	080315
DEFCA210B	Supervise indirect fire weapons	080303
DEFCA211B	Supervise the destruction of hostile air targets using GBAD systems	080303
DEFCA212	Observe targets and engage with joint asset firepower from any agency	030717
DEFCA213	Supervise the destruction of hostile air targets using line of sight ground based AD weapon system	030717
DEFCA301B	Shift loads manually utilising non-motorised equipment	061301
DEFCA302B	Assist in the construction of minefields	
DEFCA303B	Assist in the preparation, construction, operation and maintenance of a field water-point	030907
DEFCA304B	Prepare, operate and maintain small watercraft	031705
DEFCA305B	Assist in the construction of wet gap crossings	040399
DEFCA306B	Assist in the construction of dry gap crossings	040399
DEFCA307B	Assist in the preparation, construction and maintenance of roads and tracks	040399
DEFCA308B	Assist in the construction and maintenance of field structures	040399
DEFCA309B	Perform military high-risk search	080315
DEFCA310B	Collect environmental information	120105
DEFCA311B	Operate an inland tug boat	031705
DEFCA312B	Construct equipment bridging	040303
DEFCA313B	Prepare and operate a field water-point	030907
DEFCA314B	Operate an inland modular raft/ferry	031705
DEFCA315B	Supervise engineering operations	039999
DEFCA316B	Supervise the construction of short-term roads or tracks	040303
DEFCA317B	Coordinate area and route search, and clearance of explosive ordnance	080399
DEFCA318	Shift loads manually utilising non motorised equipment	030717
DEFCA319	Assist in the preparation, construction, operation and maintenance of a field water point	030907
DEFCA320	Prepare, operate and maintain small watercraft	031705
DEFCA321	Assist in the construction of wet gap crossings	040399
DEFCA322	Assist in the construction of dry gap crossings	040399
DEFCA323	Assist in the preparation, construction and maintenance of roads and tracks	040399
DEFCA324	Assist in the construction and maintenance of field structures	040399
DEFCA325	Prepare and operate a field water point	030907
DEFCA326	Operate an inland modular raft or ferry	031705
DEFCA327	Coordinate area and route search, and clearance of explosive ordnance	080399
DEFCA401B	Undertake security operations	099905
DEFCA402B	Undertake defensive operations	099905
DEFCA403B	Undertake offensive operations	120505
DEFCA404B	Undertake reconnaissance tasks	099905
DEFCA405B	Undertake surveillance patrol tasks	099905
DEFCA406B	Operate a service pistol	030717
DEFCA407B	Operate a sustained fire machine gun	030717
DEFCA408B	Operate sustained fire machine guns on operations	030717
DEFCA409B	Operate a shotgun	030717
DEFCA410B	Throw grenades on operations	030717
DEFCA411B	Operate a grenade launcher	030717
DEFCA412B	Operate a mortar	030717
DEFCA413B	Operate a direct fire support weapon	030717
DEFCA414B	Operate direct fire support weapon systems on operations	030717
DEFCA415B	Operate anti-personnel weapon	030717
DEFCA416C	Employ hand operated pyrotechnics	061301
DEFCA417B	Destroy targets using a direct fire guided weapon system	030717
DEFCA418B	Undertake sniper tasks	030717
DEFCA419B	Operate a service rifle on operations	030717
DEFCA420B	Operate a light support weapon on operations	030717
DEFCA421B	Supervise infantry operations	030717
DEFCA422B	Conduct range practices	080301
DEFCA423B	Manage range practices and qualifications	080317
DEFCA424B	Observe and direct machine gun fire	030717
DEFCA425B	Supervise the operation of mortars	030717
DEFCA426B	Supervise the operation of direct fire support weapons	030717
DEFCA427B	Supervise sniper operations	030717
DEFCA428	Undertake stability actions	099905
DEFCA429	Undertake defensive actions	099905
DEFCA430	Undertake offensive actions	099905
DEFCA431	Undertake sniper tasks	030717
DEFCA432	Supervise the operation of mortars	030717
DEFCA433	Supervise the operation of direct fire support weapons	030717
DEFCH001B	Provide pastoral care	090513
DEFCH002C	Provide ethical and pastoral advice	090513
DEFCH003B	Deliver chaplaincy services	091703
DEFCH004B	Conduct and faciliate religious observances and activities	091703
DEFCH005B	Perform as an effective member of the Chaplain's branch	091703
DEFCM001B	Use personal camouflage and concealment in a threat environment	099905
DEFCM002C	Operate night fighting equipment	030717
DEFCM003B	Analyse causes and identify countermeasures for injuries in physical activities	061301
DEFCM004B	Instruct a workplace physical training session in Defence	070199
DEFCM005B	Conduct a Defence administrative inquiry	091199
DEFCM006B	Operate a 22 gauge rifle	030717
DEFCM007B	Marshal aircraft (Defence)	031507
DEFCM008B	Provide technical advice	120105
DEFCM101C	Operate a service rifle	030717
DEFCM102C	Operate a light support weapon	030717
DEFCM103C	Operate a service hand grenade	030717
DEFCM104C	Operate in a threat environment	099905
DEFCM105C	Participate in ceremonial activities	120505
DEFCM106C	Display the attributes of an Australian soldier	120505
DEFCM107B	Supervise a section during defensive operations	080303
DEFCM108B	Supervise a section during offensive operations	080303
DEFCM109B	Supervise platoon level defensive operations	080303
DEFCM110B	Supervise platoon level offensive operations	080303
DEFCM111B	Support sub-unit level defensive operations	080303
DEFCM112B	Support sub-unit level offensive operations	080303
DEFCM113C	Perform the duties of a defending officer	091103
DEFCM114C	Perform the duties of a prosecuting officer	091103
DEFCM115B	Apply service discipline law	091103
DEFCM116C	Provide advice on service discipline law	091103
DEFCM117C	Perform the duties of a unit discipline officer	091103
DEFCM118B	Act as a range safety officer on a permanent range	061301
DEFCM119B	Conduct basic range practices on a permanent range	061301
DEFCM120C	Conduct individual and collective ceremonial drill	120505
DEFCM121C	Conduct ceremonial drill activities	120505
DEFCM122A	Provide advice on service administrative law	090999
DEFCM123A	Conduct an arrest	091105
DEFCM124A	Conduct a unit level investigation and prefer charges	091105
DEFCM125A	Conduct summary authority proceedings	091103
DEFCM126A	Conduct a quick assessment	091105
DEFCM127A	Conduct a Defence administrative inquiry	091199
DEFCM128A	Make a Defence administrative decision	091199
DEFCM129A	Perform the duties of an appointing officer	091105
DEFCM130	Perform the duties of a defending officer at service tribunals	091103
DEFCM131	Perform the duties of a prosecuting officer at service tribunals	091103
DEFCM132	Conduct individual and collective ceremonial drill	120505
DEFCM133	Supervise a section during defensive operations	080303
DEFCM134	Supervise a section during offensive operations	080303
DEFCM201B	Apply non-lethal unarmed self-defence techniques	
DEFCM202B	Apply lethal close quarter fighting techniques	
DEFCM203B	Supervise the application of non lethal unarmed self defence techniques	
DEFCM204B	Supervise the application of lethal close quarter fighting techniques	
DEFCM301B	Operate a mobile field laundry system	030717
DEFCM302B	Operate a mobile field shower system	030717
DEFCM303B	Rig and dispatch air-drop loads	089901
DEFCM304A	Establish and operate a field kitchen	080399
DEFCM305A	Assist with the establishment and operation of a field kitchen	080399
DEFCM306A	Administer personnel	080313
DEFCM307A	Maintain logistic support in an adverse environment	089901
DEFCM308A	Provide specialist technical regulatory framework advice	091103
DEFCM309A	Implement and manage technical regulatory framework compliance	080311
DEFCM310A	Establish technical risk management systems	080311
DEFCM311A	Implement and manage technical risk management	080311
DEFCM312A	Plan and establish technical regulatory framework compliant management systems	080311
DEFCM313A	Establish technical data and information management systems	080399
DEFCM314A	Operate an in-service remote positioning vehicle	120505
DEFCO106C	Transmit and receive messages via visual means	031307
DEFCO107C	Perform flag ceremonial and flag protocol procedures	031307
DEFCO108A	Support the operation of a communications and information system facility	031307
DEFCO401C	Maintain security in a Defence communications and information systems environment	099905
DEFCO402C	Transmit and receive messages utilising Defence messaging systems	031307
DEFCO403C	Transmit and receive data via information exchange systems	031307
DEFCO405C	Conduct operator level maintenance in a Defence environment	031309
DEFCO406A	Transmit and receive messages via voice	031307
DEFCP001A	Evaluate and review safety cases	061301
DEFCP002A	Apply knowledge of regulatory systems	091103
DEFCP003A	Apply knowledge of OH&S legislation	061301
DEFCP004A	Apply knowledge of risk assessment	091105
DEFCP005A	Apply knowledge of risk management	091105
DEFCP006A	Apply knowledge of safety case development process	091105
DEFCP007A	Provide specialist safety case advice	091105
DEFCP008	Apply knowledge of WHS legislation	061301
DEFDC001B	Integrate into the cadet working environment	120505
DEFDC002B	Function in the Australian aerospace environment	120505
DEFDV001B	Dive using self-contained underwater breathing apparatus in open water to 30 metres	092101
DEFDV002B	Support SCUBA diving operations from the surface	092101
DEFDV003B	Act as a standby diver	092101
DEFDV004B	Dive using surface-supplied breathing apparatus in open water to 30 metres	092101
DEFDV005B	Dive using closed-circuit breathing apparatus (N2O2) in open water to a maximum depth of 40 metres	092101
DEFDV006B	Dive using closed-circuit breathing apparatus (O2) in open water to a maximum depth of 10 metres	092101
DEFDV007B	Dive using closed-circuit breathing apparatus (HeO2) in open water to a maximum depth of 60 metres	092101
DEFDV008B	Employ hand tools in an underwater environment	030717
DEFDV009B	Conduct an underwater search of a ship's hull	092101
DEFDV010B	Employ power tools in an underwater environment	030717
DEFDV011B	Perform non-technical structural inspections underwater	080317
DEFDV012B	Perform underwater beach and waterway surveys	080317
DEFDV013B	Employ air-lift devices underwater	030717
DEFDV014B	Perform concreting in an underwater environment	040399
DEFDV015B	Employ explosive power tools in an underwater environment	030717
DEFDV016B	Perform underwater rigging work	040329
DEFDV017B	Employ thermal cutting and welding tools (non-load bearing) in an underwater environment	030711
DEFEA001	Use an enterprise architecture framework	080307
DEFEA002	Demonstrate compliance with an enterprise architecture framework	091103
DEFEA003	Use enterprise architecture tools	080307
DEFEO001	Apply knowledge of explosive ordnance chemistry	010599
DEFEO002	Apply knowledge of explosive ordnance physics	010301
DEFEO003	Apply knowledge of explosive ordnance materials	019999
DEFEO004	Assess the safety and suitability for service of explosive ordnance	
DEFEO005	Conduct explosive ordnance capability analysis	
DEFEO006	Predict and confirm explosive ordnance effects	
DEFEO007	Assess specific explosive ordnance as being safe and suitable for transport	
DEFEO008	Folllow security procedures	099905
DEFEO101D	Work safely with explosive ordnance	061301
DEFEO201C	Respond to fire	039905
DEFEO202D	Establish and maintain the safety and security of explosive warehouses and workshops	061301
DEFEO203C	Dispose of non-explosive dangerous goods	061301
DEFEO204C	Examine and certify free from explsoive ordnance	039999
DEFEO205C	Conduct technical explosive ordnance investigations	019903
DEFEO206C	Apply a knowledge of the service environment	090103
DEFEO207C	Inspect explosive ordnance facilities	061301
DEFEO208C	Supervise explosive ordnance engineering and logistics processes	089901
DEFEO209C	Control explosive ordnance engineering and logistics processes	089901
